model,model_key,num_folds,selected_fold,selection_rule,train_time_sec_mean,train_time_sec_std,infer_time_sec_mean,infer_time_sec_std,smote_train_only_mean,smote_train_only_std,accuracy_micro_mean,accuracy_micro_std,accuracy_macro_mean,accuracy_macro_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,hamming_loss_mean,hamming_loss_std,subset_accuracy_mean,subset_accuracy_std,hamming_score_mean,hamming_score_std,artifact_dir,threshold_relevance_mean,threshold_relevance_std,threshold_concreteness_mean,threshold_concreteness_std,threshold_constructive_mean,threshold_constructive_std,best_fold_train_split,best_fold_test_split,best_fold_train_size,best_fold_test_size
BERT,bert,10,10,f1_macro > f1_micro > subset_accuracy,178.61095272796229,0.0,0.1266820067539811,0.0,0.0,0.0,0.9274755927475592,0.0,0.9274755927475592,0.0,0.905775075987842,0.0,0.8707900115524749,0.0,0.9341692789968652,0.0,0.8864805134089847,0.0,0.9197530864197532,0.0,0.8778476004282455,0.0,0.0725244072524407,0.0,0.7866108786610879,0.0,0.8758716875871687,0.0,results/modular_multimodel/model_artifacts/bert/fold_10,0.7500000000000002,0.0,0.1,0.0,0.5500000000000002,0.0,/home/selab/Desktop/Thomas/Classification-Module-Review_Graph/results/research_comparison/best_fold_feature_analysis/bert_fold_10/train_split.csv,/home/selab/Desktop/Thomas/Classification-Module-Review_Graph/results/research_comparison/best_fold_feature_analysis/bert_fold_10/test_split.csv,2159,239
RoBERTa,roberta,10,10,f1_macro > f1_micro > subset_accuracy,180.92551659327,0.0,0.1255792616866529,0.0,0.0,0.0,0.9232914923291492,0.0,0.9232914923291492,0.0,0.8859649122807017,0.0,0.8206160562697065,0.0,0.9498432601880876,0.0,0.9118562908184228,0.0,0.9167927382753404,0.0,0.8627352923347917,0.0,0.0767085076708507,0.0,0.7824267782426778,0.0,0.8695955369595536,0.0,results/modular_multimodel/model_artifacts/roberta/fold_10,0.3500000000000001,0.0,0.40000000000000013,0.0,0.5500000000000002,0.0,/home/selab/Desktop/Thomas/Classification-Module-Review_Graph/results/research_comparison/best_fold_feature_analysis/roberta_fold_10/train_split.csv,/home/selab/Desktop/Thomas/Classification-Module-Review_Graph/results/research_comparison/best_fold_feature_analysis/roberta_fold_10/test_split.csv,2159,239
